k,Pop,gia,gia-cost,gia-time,eig,eig-cost,eig-time,hd,hd-cost,hd-time,maf,maf-cost,maf-time,ubg,ubg-cost,ubg-time,dssa,dssa-cost,dssa-time
10,8,8.35109,35,0.05,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.36583,21,22.612,8.35109,8.35109,8.35109
10,8,8.35109,35,0.109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.26212,23,31.272,8.35109,8.35109,8.35109
10,8,8.35109,34,0.115,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.26212,23,31.359,8.35109,8.35109,8.35109
10,8,8.35109,33,0.132,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.26212,23,36.667,8.35109,8.35109,8.35109
10,8,8.35109,34,0.129,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.26212,23,35.317,8.35109,8.35109,8.35109
10,8,8.35109,34,0.104,8.35109,29,75.735,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.16095,24,24.562,8.35109,8.35109,8.35109
10,8,8.35109,35,0.109,8.2873,29,69.381,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,9.08833,24,27.792,8.35109,8.35109,8.35109
10,8,8.35109,33,1.058,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.35109,8.02985,22,33.385,8.35109,8.35109,8.35109
10,8,8.10795,23,0.812,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.02985,22,32.468,8.10795,8.10795,8.10795
10,8,8.10795,23,0.753,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.1944,23,28.881,8.10795,8.10795,8.10795
10,8,8.10795,24,1.198,8.2873,29,53.694,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,9.04721,24,29.37,8.10795,8.10795,8.10795
10,8,8.10795,24,1.2,8.2873,29,55.82,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,9.04721,24,30.774,8.10795,8.10795,8.10795
10,8,8.10795,23,0.752,8.2873,29,43.724,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,9.04721,24,30.019,8.10795,8.10795,8.10795
10,8,8.10795,23,1.368,8.2873,29,81.948,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.06223,21,41.532,8.10795,8.10795,8.10795
10,8,8.10795,23,1.431,8.40199,29,74.494,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.02985,21,42.312,8.10795,8.10795,8.10795
10,8,8.10795,23,1.408,8.38431,29,77.857,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.06223,21,42.49,8.10795,8.10795,8.10795
10,8,8.10795,24,2.298,8.28207,29,188.944,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.54459,26,41.536,8.10795,8.10795,8.10795
10,8,8.10795,24,1.657,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.12778,27,41.807,8.10795,8.10795,8.10795
10,8,8.10795,23,1.664,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.01013,26,23.956,8.10795,8.10795,8.10795
10,8,8.10795,23,1.635,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.01013,26,25.395,8.10795,8.10795,8.10795
10,8,8.10795,24,1.773,8.32589,29,80.569,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.16499,27,24.76,8.10795,8.10795,8.10795
10,8,8.10795,24,1.685,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.64908,32,22.508,8.01013,26,25.887,8.10795,8.10795,8.10795
10,8,8.10795,23,1.669,8.10795,8.10795,8.10795,8.10795,8.10795,8.10795,8.64908,32,19.389,8.01013,26,22.759,8.10795,8.10795,8.10795
